id,name,type,vid_res,language,home_away,call_sign
263,ESPN Radio,AM,,en,away,ESPN
264,KOMO 1000,AM,,en,away,KOMO1000
265,KFWB,AM,,en,away,KFWB
266,KSPN,AM,,en,home,KSPN
267,KSTP / KSTC,TV,,en,home,KSTP-KSTC
269,PAX,TV,,en,home,PAX
270,UPN20,TV,,en,away,UPN20
271,WBZ,TV,,en,away,WBZ
272,WBZ / NESN,TV,,en,home,NESN
273,WROL 950,AM,,en,away,WROL 950
274,WSBK / NESN,TV,,en,away,NESN
275,XEMO 860,AM,,es,away,XEMO
276,KCCO,AM,,en,home,KCCO
277,KMCI-38,TV,,en,away,KMCI-38
278,KSTW,TV,,en,away,KSTW
279,KYW,TV,,en,away,KYW
280,RSTN,TV,,en,home,RSTN
281,T-63,TV,,es,home,T-63
283,WB54 / PAX 66,TV,,en,home,WB54
284,KYW CBS3,TV,,en,home,KYW CBS3
285,WFED 1050,AM,,en,away,WFED1050
286,WJZ / PAX 66,TV,,en,home,WJZ-PAX66
287,KTVK,TV,,en,home,KTVK
288,CN8 / NC8,TV,,en,home,CN8/NC8
289,WSBK,TV,,en,home,WSBK
290,KWOD 1660,AM,,en,home,KWOD1660
291,XKAM,AM,,es,home,XKAM
292,KTMZ 1220,AM,,es,away,KTMZ
293,WMCS 1290,AM,,en,away,WMCS1290
294,KKMO 1360,AM,,es,away,KKMO1360
295,104.1 JACK,FM,,en,home,104.1JACK
296,KCCO / WXPT,AM,,en,home,KCCO-WXPT
297,FOX 45,TV,,en,away,FOX 45
298,710 ESPN,AM,,en,home,710
299,Action 36 Cable 6,TV,,en,home,Action 36
300,TUDN 93.3 / KLAT 1010,AM,,es,home,TUDN/KLAT
301,WAZX 1550,AM,,es,home,WAZX1550
302,WCBS-TV,TV,,en,home,WCBS-TV
303,WBPX,TV,,en,away,WBPX
304,WCVB,TV,,en,away,WCVB
305,KSTP,TV,,en,away,KSTP
306,WWOR,TV,,en,home,WWOR
307,WPXA,TV,,en,home,WPXA
308,WSVN,TV,,en,away,WSVN
309,TBD,TV,,en,away,TBD
310,FOX / FX,TV,,en,away,FOX / FX
311,KASW (WB6),TV,,en,away,KASW-WB6
312,CKOO,AM,,fr,away,CKOO
314,WHB,AM,,en,home,WHB
315,XPRS,AM,,en,away,XPRS
316,KSNB,AM,,es,home,KSNB
317,KTNQ 1020,AM,,es,away,KTNQ
318,VS1,TV,,en,home,VS1
319,KSTC/VS1,TV,,en,away,KSTC/VS1
320,KSTC/KSTP/VS1,TV,,en,home,KSTC
321,WB54 / WDCA,TV,,en,home,WB54-WDCA
322,WJZ / WDCA,TV,,en,away,WJZ/WDCA
323,KYW TV3,TV,,en,away,KYW TV3
324,4 San Diego,TV,,en,away,4 SD
325,Bally Sports Southeast,TV,,en,away,BSSE
326,Bally Sports South,TV,,en,home,BSSO
327,PAX30,TV,,en,away,PAX30
328,KWHY 22,TV,,es,away,KWHY 22
329,KDOC-56,TV,,en,away,KDOC-56
330,WATB 1420,AM,,es,home,WATB1420
331,NESN (Alt.),TV,,en,away,NESN
332,KFLC 1270,AM,,es,away,KFLC
333,SNET360,TV,,en,home,SNET
334,Pay Per View ,TV,,en,away,PPV
335,TBS Friday Night Xtra,TV,,en,home,TBS Fri
336,WYTU,TV,HD,es,home,WYTU
337,FSN-HD,TV,,en,home,FSNW
338,WKAT 1360,AM,,en,away,WKAT1360
339,NBCSCH,TV,,en,away,NBCSCH
341,Bally Sports Ohio,TV,,en,home,BSOH
342,CSN-C+,TV,,en,away,CSC
343,WHNZ 1250,AM,,en,away,WHNZ1250
344,UPN 29,TV,,en,home,UPN 29
345,KMXA 1090,AM,,es,home,KMXA1090
346,WPWA 1590,AM,,es,home,WPWA1590
347,WAMA 1550,AM,,es,home,WAMA1550
348,640 WGST,AM,,en,away,640 WGST
349,94 WIP,FM,,en,away,WIP
361,Telemundo,TV,,es,home,Telemundo
381,WDCA,TV,,en,away,WDCA
382,Cumbia 1170,AM,,es,home,1170
401,Z104 FM,FM,,en,away,Z104 FM
481,Rogers Ont.,TV,,en,away,Rogers
501,KWBA,TV,,en,home,KWBA
541,WRTO 1200,AM,,es,home,WRTO
561,WKLS,FM,,en,away,WKLS
581,MASN,TV,,en,home,MASN
582,WTTG-5,TV,,en,away,WTTG-5
602,KTVU-HD,TV,,en,home,KTVU-HD
621,KBRO,AM,,es,home,KBRO
661,WSAI-1360,AM,,en,away,WSAI
681,Bally Sports Sun,TV,,en,home,BSSUN
701,WTAM 30,TV,,es,home,WTAM 30
721,WLNY-55,TV,,en,away,WLNY-55
722,XETV,TV,,en,away,XETV
741,SNY,TV,,en,home,SNY
761,KTRS 550,AM,,en,away,KTRS 550
762,KYCY 1550,AM,,en,away,KYCY1550
