player_mlbam,player,position,team,team_mlbam,date,award_id,award,ntoes,votes
112233,Jack Chesbro,P,New York Yankees,147,1946-11-01,MLBHOF,Hall Of Fame,-,-
111733,Jesse Burkett,OF,-,209,1946-11-01,MLBHOF,Hall Of Fame,-,-
118713,Joe McGinnity,P,New York Giants,137,1946-11-01,MLBHOF,Hall Of Fame,-,-
123353,Joe Tinker,SS,Chicago Cubs,112,1946-11-01,MLBHOF,Hall Of Fame,-,-
113949,Johnny Evers,2B,Chicago Cubs,112,1946-11-01,MLBHOF,Hall Of Fame,-,-
123767,Rube Waddell,P,Philadelphia Athletics,133,1946-11-01,MLBHOF,Hall Of Fame,-,-
118554,Tommy McCarthy,OF,Boston Braves,144,1946-11-01,MLBHOF,Hall Of Fame,-,-
111524,Dan Brouthers,1B,-,187,1945-11-01,MLBHOF,Hall Of Fame,-,-
113218,Ed Delahanty,OF,Philadelphia Phillies,143,1945-11-01,MLBHOF,Hall Of Fame,-,-
112352,Fred Clarke,OF,Pittsburgh Pirates,134,1945-11-01,MLBHOF,Hall Of Fame,-,-
113598,Hugh Duffy,OF,Boston Braves,144,1945-11-01,MLBHOF,Hall Of Fame,-,-
116528,Hughie Jennings,SS,Detroit Tigers,116,1945-11-01,MLBHOF,Hall Of Fame,-,-
120054,Jim O'Rourke,OF,New York Giants,137,1945-11-01,MLBHOF,Hall Of Fame,-,-
112511,Jimmy Collins,3B,Boston Red Sox,111,1945-11-01,MLBHOF,Hall Of Fame,-,-
116953,King Kelly,OF,Chicago Cubs,112,1945-11-01,MLBHOF,Hall Of Fame,-,-
111433,Roger Bresnahan,C,New York Giants,137,1945-11-01,MLBHOF,Hall Of Fame,-,-
121322,Wilbert Robinson,X,Brooklyn Dodgers,119,1945-11-01,MLBHOF,Hall Of Fame,-,-
492574,Kenesaw Landis,X,No team,14,1944-11-01,MLBHOF,Hall Of Fame,-,-
116156,Rogers Hornsby,2B,St. Louis Cardinals,138,1942-11-01,MLBHOF,Hall Of Fame,-,182
122558,Al Spalding,X,No team,14,1939-11-01,MLBHOF,Hall Of Fame,-,-
113959,Buck Ewing,C,New York Giants,137,1939-11-01,MLBHOF,Hall Of Fame,-,-
112939,Candy Cummings,P,No team,14,1939-11-01,MLBHOF,Hall Of Fame,-,-
110284,Cap Anson,1B,Chicago Cubs,112,1939-11-01,MLBHOF,Hall Of Fame,-,-
112539,Charlie Comiskey,X,No team,14,1939-11-01,MLBHOF,Hall Of Fame,-,-
112506,Eddie Collins,2B,Chicago White Sox,145,1939-11-01,MLBHOF,Hall Of Fame,-,213
122280,George Sisler,1B,St. Louis Browns,110,1939-11-01,MLBHOF,Hall Of Fame,-,235
114680,Lou Gehrig,1B,New York Yankees,147,1939-11-01,MLBHOF,Hall Of Fame,-,-
120867,Old Hoss Radbourn,P,-,224,1939-11-01,MLBHOF,Hall Of Fame,-,-
116891,Willie Keeler,OF,Brooklyn Dodgers,119,1939-11-01,MLBHOF,Hall Of Fame,-,207
492557,Alexander Cartwright,X,No team,14,1938-11-01,MLBHOF,Hall Of Fame,-,-
110127,Grover Alexander,P,Philadelphia Phillies,143,1938-11-01,MLBHOF,Hall Of Fame,-,212
492558,Henry Chadwick,X,No team,14,1938-11-01,MLBHOF,Hall Of Fame,-,-
473431,Byron Johnson,X,No team,14,1937-11-01,MLBHOF,Hall Of Fame,-,-
118082,Connie Mack,X,Philadelphia Athletics,133,1937-11-01,MLBHOF,Hall Of Fame,-,-
124692,Cy Young,P,Cleveland Indians,114,1937-11-01,MLBHOF,Hall Of Fame,-,153
124597,George Wright,X,No team,14,1937-11-01,MLBHOF,Hall Of Fame,-,-
118726,John McGraw,X,New York Giants,137,1937-11-01,MLBHOF,Hall Of Fame,-,-
492556,Morgan Bulkeley,X,No team,14,1937-11-01,MLBHOF,Hall Of Fame,-,-
117414,Nap Lajoie,2B,Cleveland Indians,114,1937-11-01,MLBHOF,Hall Of Fame,-,168
122566,Tristram Speaker,OF,Cleveland Indians,114,1937-11-01,MLBHOF,Hall Of Fame,-,165
121578,Babe Ruth,OF,New York Yankees,147,1936-11-01,MLBHOF,Hall Of Fame,-,215
118422,Christy Mathewson,P,New York Giants,137,1936-11-01,MLBHOF,Hall Of Fame,-,205
123784,Honus Wagner,SS,Pittsburgh Pirates,134,1936-11-01,MLBHOF,Hall Of Fame,-,215
112431,Ty Cobb,OF,Detroit Tigers,116,1936-11-01,MLBHOF,Hall Of Fame,-,222
116635,Walter Johnson,P,Washington Senators,142,1936-11-01,MLBHOF,Hall Of Fame,-,189
