mlbam,name,active,address1,address2,postal_code,city,state,country,phone,lat,lon,turf_type,roof_type,left_line,right_line,left,center,right,left_center,right_center,tz_id,tz_offset,tz,retroID
22,Dodger Stadium,True,1000 Vin Scully Avenue,,90012-1199,Los Angeles,CA,USA,(323) 224-1500,34.07368,-118.24053,Grass,Open,330.0,330.0,,395.0,,385.0,385.0,America/Los_Angeles,-7,PDT,LOS03
23,Milwaukee County Stadium,False,,,,Milwaukee,WI,USA,,,,Grass,Open,,,,,,,,America/Chicago,-5,CDT,MIL05
25,Shea Stadium,False,,,,Flushing,NY,USA,,,,Grass,Open,338.0,338.0,,410.0,,371.0,371.0,America/New_York,-4,EDT,NYC17
27,Three Rivers Stadium,False,,,,Pittsburgh,PA,USA,,,,Artificial Turf,Open,,,,,,,,America/New_York,-4,EDT,PIT07
28,Qualcomm Stadium,False,,,,San Diego,CA,USA,,,,Grass,Open,327.0,330.0,,405.0,,370.0,370.0,America/Los_Angeles,-7,PDT,SAN01
29,3Com Park at Candlestick Point,False,,,,San Francisco,CA,USA,,,,Grass,Open,,,,,,,,America/Los_Angeles,-7,PDT,SFO02
30,Busch Stadium,False,,,,St. Louis,MO,USA,,,,Grass,Open,330.0,330.0,,402.0,,372.0,372.0,America/Chicago,-5,CDT,STL09
401,TBD,True,,,,United States,,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
680,T-Mobile Park,True,P.O. Box 4100,,98104,Seattle,WA,USA,(206) 346-4000,47.591333,-122.33251,Grass,Retractable,331.0,327.0,,405.0,,390.0,387.0,America/Los_Angeles,-7,PDT,SEA03
2392,Minute Maid Park,True,501 Crawford Street,,77002,Houston,TX,USA,(713) 259-8000,29.756967,-95.355509,Grass,Retractable,315.0,326.0,,409.0,,362.0,373.0,America/Chicago,-5,CDT,HOU03
2394,Comerica Park,True,2100 Woodward Avenue,,48201,Detroit,MI,USA,(313) 471-2000,42.3391151,-83.048695,Grass,Open,345.0,330.0,,420.0,,370.0,365.0,America/Detroit,-4,EDT,DET05
2395,Oracle Park,True,24 Willie Mays Plaza,,94107,San Francisco,CA,USA,(415) 972-2000,37.778383,-122.389448,Grass,Open,339.0,309.0,,391.0,,399.0,415.0,America/Los_Angeles,-7,PDT,SFO03
2500,Tempe Diablo Stadium,True,Tempe Diablo Stadium,2200 W  Alameda Drive #105,85282,Tempe,AZ,USA,(480) 350-5205,33.40092,-111.9707,Grass,Open,340.0,360.0,400.0,420.0,400.0,,,America/Phoenix,-7,MST,
2503,Cashman Field,False,850 Las Vegas Blvd. N.,,89101,Las Vegas,NV,USA,,,,Grass,Open,328.0,328.0,,433.0,,364.0,364.0,America/Los_Angeles,-7,PDT,LAS01
2504,Champion Stadium,False,Champion Stadium,700 S Victory Way,34747,Lake Buena Vista,FL,USA,(407) 939-2200,28.33725,-81.55613,Grass,Open,340.0,330.0,,400.0,,,,America/New_York,-4,EDT,LBV01
2506,City of Palms Park,False,City of Palms Park,2201 Edison Avenue,33901,Ft. Myers,FL,USA,(239) 334-4700,,,Grass,Open,330.0,330.0,385.0,410.0,385.0,,,America/New_York,-4,EDT,
2507,Hohokam Stadium,True,HoHoKam Park,1235 N. Center Street,85201,Mesa,AZ,USA,(480) 964-4467,33.43831,-111.82973,Grass,Open,340.0,350.0,390.0,410.0,390.0,,,America/Phoenix,-7,MST,
2508,Ed Smith Stadium,True,Ed Smith Stadium,12th Street and Tuttle Avenue,34237,Sarasota,FL,USA,(941) 747-3031,27.34795,-82.5174,Grass,Open,340.0,340.0,375.0,400.0,375.0,,,America/New_York,-4,EDT,
2511,Publix Field at Joker Marchant Stadium,True,2125 North Lake Avenue,,33805,Lakeland,FL,USA,,28.07437,-81.95113,Grass,Open,340.0,340.0,,420.0,,,,America/New_York,-4,EDT,
2512,UPMC Park,True,110 East 10th Street,,16501,Erie,PA,USA,,,,Grass,Open,317.0,328.0,356.0,405.0,367.0,,,America/New_York,-4,EDT,
2514,Osceola County Stadium,False,Osceola County Stadium,631 Heritage Parkway,34744,Kissimmee,FL,USA,(321) 597-3201,,,Grass,Open,330.0,330.0,390.0,410.0,390.0,,,America/New_York,-4,EDT,
2515,Baseball City Stadium,False,,,,Baseball City,FL,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
2516,The Diamond,True,500 Diamond Drive,,92530,Lake Elsinore,CA,USA,,33.65426399,-117.3023598,Grass,Open,330.0,310.0,380.0,400.0,342.0,425.0,386.0,America/Los_Angeles,-7,PDT,
2518,American Family Fields of Phoenix,True,Maryvale Baseball Park,3600 N 51st Avenue,85031,Phoenix,AZ,USA,(623) 245-5500,33.49202,-112.1727,Grass,Open,350.0,340.0,,400.0,,,,America/Phoenix,-7,MST,
2520,Roger Dean Chevrolet Stadium,True,4751 Main Street,,33458,Jupiter,FL,USA,,26.89084,-80.11677,Grass,Open,335.0,375.0,,400.0,,,,America/New_York,-4,EDT,
2523,George M. Steinbrenner Field,True,1 Steinbrenner Drive,,33614,Tampa,FL,USA,,27.97997,-82.50702,Grass,Open,318.0,314.0,,408.0,,,,America/New_York,-4,EDT,
2525,Jack Russell Memorial Stadium,False,,,,Clearwater,FL,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
2526,LECOM Park,True,1611 9th Street W.,,34205,Bradenton,FL,USA,,27.48535,-82.57076,Grass,Open,335.0,335.0,370.0,400.0,370.0,,,America/New_York,-4,EDT,
2528,Dell Diamond,True,3400 East Palm Valley Blvd.,,78665,Round Rock,TX,USA,,,,Grass,Open,330.0,325.0,,407.0,,375.0,375.0,America/Chicago,-5,CDT,
2530,Peoria Stadium,True,Peoria Sports Complex,16101 N 83rd Avenue,85382,Peoria,AZ,USA,(623) 878-4337,33.63187,-112.23359,Grass,Open,340.0,340.0,385.0,410.0,385.0,,,America/Phoenix,-7,MST,
2531,Desert Sun Stadium,False,,,,Yuma,AZ,USA,,,,Grass,Open,345.0,345.0,,420.0,,,,America/Phoenix,-7,MST,
2533,Florida Power Park,False,,,,St. Petersburg,FL,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
2534,Charlotte Sports Park,True,2300 El Jobean Rd.,,33948,Port Charlotte,FL,USA,,26.99888,-82.18212,Grass,Open,343.0,343.0,,414.0,,,,America/New_York,-4,EDT,
2536,TD Ballpark,True,373 Douglas Avenue #A,,34698,Dunedin,FL,USA,,28.00401,-82.78695,Grass,Open,335.0,327.0,375.0,400.0,375.0,,,America/New_York,-4,EDT,
2538,"US West Sports Complex, Hi Corbett Field",False,,,,Tucson,AZ,USA,,,,Grass,Open,366.0,348.0,,392.0,,,,America/Phoenix,-7,MST,
31,PNC Park,True,115 Federal Street,,15212,Pittsburgh,PA,USA,(412) 323-5000,40.446904,-80.005753,Grass,Open,325.0,320.0,389.0,399.0,,410.0,375.0,America/New_York,-4,EDT,PIT08
2541,Durham Bulls Athletic Park,True,409 Blackwell Street,,27701,Durham,NC,USA,,,,Grass,Open,305.0,325.0,,400.0,,375.0,375.0,America/New_York,-4,EDT,
4509,Johnson Stadium at Doubleday Field,False,,,,West Point,NY,USA,,,,Grass,Open,327.0,327.0,,400.0,,336.0,375.0,America/New_York,-4,EDT,
3469,Appalachian Power Park,True,"601 Morris Street, Suite 201",,25301,Charleston,WV,USA,,,,Grass,Open,330.0,320.0,,400.0,,,,America/New_York,-4,EDT,
3470,Melaleuca Field,True,900 Jim Garchow Way,,83402,Idaho Falls,ID,USA,,,,Grass,Open,340.0,350.0,,400.0,,,,America/Boise,-6,MDT,
2542,AutoZone Park,True,198 Union Avenue,,38103,Memphis,TN,USA,,,,Grass,Open,319.0,322.0,,400.0,,,,America/Chicago,-5,CDT,
2543,Mark Light Stadium,False,,,,Coral Gables,FL,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
2603,Surprise Stadium,True,Surprise Stadium,15960 N Bullard Avenue,85374,Surprise,AZ,USA,(623) 222-2222,33.62762,-112.37849,Grass,Open,350.0,350.0,,400.0,,,,America/Phoenix,-7,MST,
2620,Regions Park,False,,,,Birmingham,AL,USA,,,,Grass,Open,340.0,340.0,,405.0,,,,America/Denver,-6,MDT,
2623,Hoover Metropolitan Stadium,True,100 Ben Chapman Drive,,35244,Birmingham,AL,USA,,,,Grass,Open,320.0,325.0,,400.0,,380.0,375.0,America/Chicago,-5,CDT,
2624,PGE Park,False,,,,Portland,OR,USA,,,,Artificial Turf,Open,327.0,327.0,,400.0,,,,America/Los_Angeles,-7,PDT,
2625,Five County Stadium,True,1501 N.C. Highway 39,,27597,Zebulon,NC,USA,,,,Grass,Open,330.0,309.0,,400.0,,365.0,365.0,America/New_York,-4,EDT,
5074,SAP Center,False,535 W. Santa Clara Street,,95113,San Jose,CA,USA,(408) 287-7070,,,Indoor,Dome,,,,,,,,America/Los_Angeles,-7,PDT,
2640,Chukchansi Park,True,1800 Tulare Street,,93721,Fresno,CA,USA,,,,Grass,Open,324.0,335.0,,400.0,,385.0,385.0,America/Los_Angeles,-7,PDT,
2641,Drillers Stadium,False,,,,Tulsa,OK,USA,,,,Grass,Open,335.0,340.0,349.0,390.0,365.0,,,America/Chicago,-5,CDT,
2660,Doubleday Field,False,,,,Cooperstown,NY,USA,,,,Grass,Open,296.0,312.0,,390.0,,,,America/New_York,-4,EDT,
2680,Petco Park,True,100 Park Boulevard,,92101,San Diego,CA,USA,(619) 795-5000,32.707861,-117.157278,Grass,Open,336.0,322.0,,396.0,,386.0,391.0,America/Los_Angeles,-7,PDT,SAN02
2681,Citizens Bank Park,True,One Citizens Bank Way,,19148,Philadelphia,PA,USA,(215) 463-6000,39.90539086,-75.16716957,Grass,Open,329.0,330.0,369.0,401.0,369.0,381.0,398.0,America/New_York,-4,EDT,PHI13
2682,AT&T Field,True,201 Power Alley,,37402,Chattanooga,TN,USA,,,,Grass,Open,325.0,330.0,,400.0,,,,America/New_York,-4,EDT,
