mlbam,Manager,Tm,bbrefID,HOF,Years,First,Last,W,L,W%,Best,Worst,Ejections
121311,Frank Robinson,CLE,robinfr02,TRUE,3,1975,1977,186,189,0.496,4,5,7
115037,Alex Grammas,MIL,grammal01,FALSE,2,1976,1977,133,190,0.412,6,6,3
114394,Joe Frazier,NYM,frazijo01,FALSE,2,1976,1977,101,106,0.488,3,6,3
113052,Al Dark,SDP,darkal01,FALSE,1,1977,1977,48,65,0.425,5,5,2
122299,Bob Skinner,SDP,skinnbo01,FALSE,1,1977,1977,1,0,1,5,5,0
492579,John McNamara,SDP,mcnamjo99,FALSE,4,1974,1977,224,310,0.419,4,6,5
121584,Connie Ryan,TEX,ryanco01,FALSE,1,1977,1977,2,4,0.333,2,2,0
122666,Eddie Stanky,TEX,stanked01,FALSE,1,1977,1977,1,0,1,2,2,0
492660,Frank Lucchesi,TEX,lucchfr99,FALSE,3,1975,1977,142,149,0.488,2,4,11
124335,Dick Williams,ANA,willidi02,TRUE,3,1974,1976,147,194,0.431,4,6,11
116575,Darrell Johnson,BOS,johnsda01,FALSE,3,1974,1976,220,188,0.539,1,3,12
118323,Jim Marshall,CHC,marshji01,FALSE,3,1974,1976,175,218,0.445,4,6,4
121150,Paul Richards,CHW,richapa01,FALSE,5,1951,1976,406,362,0.529,3,6,30
110193,Walter Alston,LAD,alstowa01,TRUE,23,1954,1976,2040,1613,0.558,1,8,37
123089,Chuck Tanner,OAK,tannech01,FALSE,1,1976,1976,87,74,0.54,2,2,4
119599,Danny Murtaugh,PIT,murtada01,FALSE,15,1957,1976,1115,950,0.54,1,8,20
121205,Bill Rigney,SFG,rignebi01,FALSE,6,1956,1976,406,430,0.486,3,6,22
114355,Charlie Fox,WSN,foxch01,FALSE,1,1976,1976,12,22,0.353,6,6,0
492657,Karl Kuehl,WSN,kuehlka99,FALSE,1,1976,1976,43,85,0.336,6,6,1
117075,Clyde King,ATL,kingcl01,FALSE,2,1974,1975,96,101,0.487,3,5,2
121584,Connie Ryan,ATL,ryanco01,FALSE,1,1975,1975,9,18,0.333,5,5,0
123089,Chuck Tanner,CHW,tannech01,FALSE,6,1970,1975,401,414,0.492,2,6,16
114914,Preston Gomez,HOU,gomezpr01,FALSE,2,1974,1975,128,161,0.443,4,6,3
429341,Jack McKeon,KCR,mckeoja99,FALSE,3,1973,1975,215,205,0.512,2,5,6
112788,Del Crandall,MIL,crandde01,FALSE,4,1972,1975,271,338,0.445,5,6,6
120833,Frank Quilici,MIN,quilifr01,FALSE,4,1972,1975,280,287,0.494,3,4,8
118828,Roy McMillan,NYM,mcmilro01,FALSE,1,1975,1975,26,27,0.491,3,3,0
110925,Yogi Berra,NYM,berrayo01,TRUE,4,1972,1975,292,296,0.497,1,5,6
123734,Bill Virdon,NYY,virdobi01,FALSE,2,1974,1975,142,124,0.534,2,3,3
113052,Al Dark,OAK,darkal01,FALSE,4,1966,1975,314,291,0.519,1,10,5
124121,Wes Westrum,SFG,westrwe01,FALSE,2,1974,1975,118,129,0.478,3,5,3
118330,Billy Martin,TEX,martibi02,FALSE,3,1973,1975,137,141,0.493,2,6,9
