Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,SO/W,W,L,W-L%,ERA,GF,CG,SHO,SV,IP,ER,BK,WP,BF,WHIP,SO9
opp,Inter-League,254.0,20.0,763.0,673.0,90,160.0,38.0,3.0,15.0,82.0,22.0,1.0,63.0,180.0,0.238,0.311,0.37,0.681,249.0,10.0,13.0,5.0,9.0,2.0,6.0,0.298,89.0,90.0,,,,,,,,,,,,,,,,
opp,Los Angeles Angels,166.0,16.0,600.0,513.0,75,124.0,24.0,2.0,18.0,68.0,7.0,2.0,64.0,130.0,0.242,0.337,0.402,0.738,206.0,12.0,13.0,3.0,7.0,4.0,7.0,0.285,105.0,99.0,,,,,,,,,,,,,,,,
opp,Arizona Diamondbacks,54.0,4.0,153.0,133.0,25,35.0,6.0,2.0,4.0,24.0,4.0,0.0,16.0,43.0,0.263,0.346,0.429,0.775,57.0,2.0,2.0,0.0,2.0,1.0,0.0,0.352,114.0,94.0,,,,,,,,,,,,,,,,
opp,Baltimore Orioles,61.0,6.0,225.0,200.0,24,43.0,4.0,0.0,9.0,23.0,2.0,0.0,22.0,48.0,0.215,0.302,0.37,0.672,74.0,1.0,3.0,0.0,0.0,0.0,0.0,0.238,86.0,65.0,,,,,,,,,,,,,,,,
opp,Boston Red Sox,66.0,6.0,232.0,208.0,17,46.0,12.0,1.0,3.0,16.0,2.0,0.0,20.0,52.0,0.221,0.294,0.332,0.626,69.0,4.0,2.0,1.0,1.0,2.0,1.0,0.279,74.0,67.0,,,,,,,,,,,,,,,,
opp,Chicago White Sox,76.0,7.0,249.0,217.0,20,46.0,6.0,3.0,6.0,18.0,6.0,1.0,25.0,51.0,0.212,0.301,0.35,0.651,76.0,8.0,4.0,0.0,3.0,0.0,1.0,0.245,81.0,93.0,,,,,,,,,,,,,,,,
opp,Cleveland Indians,62.0,6.0,243.0,209.0,36,54.0,13.0,0.0,8.0,35.0,5.0,2.0,24.0,48.0,0.258,0.354,0.435,0.789,91.0,4.0,8.0,0.0,2.0,1.0,0.0,0.297,118.0,118.0,,,,,,,,,,,,,,,,
opp,Colorado Rockies,44.0,3.0,120.0,106.0,16,32.0,9.0,1.0,4.0,15.0,1.0,0.0,9.0,19.0,0.302,0.356,0.519,0.875,55.0,3.0,1.0,2.0,2.0,1.0,1.0,0.329,140.0,127.0,,,,,,,,,,,,,,,,
opp,Detroit Tigers,70.0,7.0,274.0,237.0,44,64.0,16.0,2.0,13.0,43.0,4.0,1.0,30.0,54.0,0.27,0.358,0.519,0.877,123.0,2.0,4.0,0.0,3.0,0.0,2.0,0.295,140.0,132.0,,,,,,,,,,,,,,,,
opp,Houston Astros,137.0,13.0,478.0,426.0,46,89.0,20.0,2.0,14.0,44.0,5.0,1.0,41.0,125.0,0.209,0.285,0.364,0.649,155.0,9.0,6.0,1.0,4.0,1.0,5.0,0.258,79.0,89.0,,,,,,,,,,,,,,,,
opp,Kansas City Royals,46.0,5.0,186.0,162.0,29,42.0,12.0,0.0,8.0,28.0,0.0,0.0,19.0,39.0,0.259,0.333,0.481,0.815,78.0,2.0,1.0,0.0,4.0,1.0,2.0,0.286,123.0,116.0,,,,,,,,,,,,,,,,
opp,Los Angeles Dodgers,31.0,3.0,112.0,97.0,8,16.0,3.0,0.0,2.0,7.0,4.0,0.0,11.0,29.0,0.165,0.261,0.258,0.519,25.0,0.0,2.0,1.0,1.0,0.0,1.0,0.209,46.0,69.0,,,,,,,,,,,,,,,,
opp,Minnesota Twins,62.0,6.0,216.0,191.0,38,50.0,11.0,0.0,12.0,32.0,6.0,1.0,19.0,43.0,0.262,0.335,0.508,0.843,97.0,5.0,3.0,1.0,2.0,0.0,4.0,0.275,130.0,118.0,,,,,,,,,,,,,,,,
opp,New York Yankees,73.0,7.0,261.0,235.0,25,52.0,5.0,1.0,10.0,23.0,6.0,0.0,24.0,68.0,0.221,0.299,0.379,0.678,89.0,1.0,2.0,0.0,0.0,1.0,3.0,0.268,87.0,99.0,,,,,,,,,,,,,,,,
opp,San Diego Padres,51.0,4.0,155.0,136.0,20,36.0,10.0,0.0,4.0,18.0,5.0,1.0,14.0,35.0,0.265,0.338,0.426,0.764,58.0,4.0,2.0,1.0,2.0,0.0,1.0,0.323,111.0,116.0,,,,,,,,,,,,,,,,
opp,Seattle Mariners,124.0,12.0,455.0,405.0,52,99.0,27.0,0.0,12.0,50.0,5.0,1.0,36.0,101.0,0.244,0.315,0.4,0.715,162.0,10.0,8.0,1.0,5.0,0.0,3.0,0.293,98.0,95.0,,,,,,,,,,,,,,,,
opp,San Francisco Giants,74.0,6.0,223.0,201.0,21,41.0,10.0,0.0,1.0,18.0,8.0,0.0,13.0,54.0,0.204,0.27,0.269,0.539,54.0,1.0,6.0,1.0,2.0,0.0,3.0,0.27,51.0,68.0,,,,,,,,,,,,,,,,
opp,Tampa Bay Rays,73.0,7.0,244.0,220.0,19,45.0,10.0,1.0,6.0,18.0,2.0,3.0,20.0,69.0,0.205,0.279,0.341,0.62,75.0,4.0,3.0,0.0,1.0,0.0,1.0,0.267,72.0,80.0,,,,,,,,,,,,,,,,
opp,Texas Rangers,203.0,19.0,727.0,662.0,107,173.0,36.0,3.0,34.0,102.0,10.0,1.0,49.0,130.0,0.261,0.322,0.479,0.801,317.0,13.0,11.0,3.0,2.0,0.0,4.0,0.278,119.0,109.0,,,,,,,,,,,,,,,,
opp,Toronto Blue Jays,71.0,7.0,254.0,227.0,35,51.0,13.0,0.0,11.0,35.0,0.0,1.0,22.0,66.0,0.225,0.307,0.427,0.734,97.0,6.0,5.0,0.0,0.0,0.0,1.0,0.267,102.0,106.0,,,,,,,,,,,,,,,,
opp,WP < .500,768.0,72.0,2744.0,2413.0,394,617.0,131.0,10.0,110.0,370.0,39.0,7.0,252.0,554.0,0.256,0.335,0.455,0.79,1098.0,44.0,46.0,9.0,24.0,8.0,20.0,0.286,117.0,108.0,,,,,,,,,,,,,,,,
opp,WP >= .500,776.0,72.0,2663.0,2372.0,263,521.0,116.0,8.0,69.0,247.0,43.0,8.0,226.0,650.0,0.22,0.296,0.363,0.659,860.0,47.0,40.0,6.0,19.0,4.0,20.0,0.27,82.0,89.0,,,,,,,,,,,,,,,,
conditions,Night,864.0,81.0,3023.0,2678.0,353,633.0,152.0,8.0,97.0,336.0,36.0,7.0,268.0,693.0,0.236,0.314,0.408,0.722,1092.0,53.0,46.0,6.0,25.0,6.0,21.0,0.28,99.0,98.0,,,,,,,,,,,,,,,,
conditions,Day,680.0,63.0,2384.0,2107.0,304,505.0,95.0,10.0,82.0,281.0,46.0,8.0,210.0,511.0,0.24,0.318,0.411,0.729,866.0,38.0,40.0,9.0,18.0,6.0,19.0,0.276,101.0,102.0,,,,,,,,,,,,,,,,
conditions,Open,1301.0,122.0,4568.0,4027.0,552,955.0,201.0,17.0,152.0,516.0,71.0,10.0,417.0,984.0,0.237,0.317,0.409,0.726,1646.0,83.0,73.0,13.0,38.0,11.0,35.0,0.274,100.0,98.0,,,,,,,,,,,,,,,,
conditions,Dome,42.0,4.0,137.0,126.0,8,25.0,7.0,0.0,3.0,8.0,0.0,2.0,8.0,39.0,0.198,0.255,0.325,0.581,41.0,2.0,2.0,0.0,1.0,0.0,0.0,0.259,60.0,70.0,,,,,,,,,,,,,,,,
conditions,Retract,201.0,18.0,702.0,632.0,97,158.0,39.0,1.0,24.0,93.0,11.0,3.0,53.0,181.0,0.25,0.317,0.429,0.746,271.0,6.0,11.0,2.0,4.0,1.0,5.0,0.311,105.0,112.0,,,,,,,,,,,,,,,,
