Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,SO/W,W,L,W-L%,ERA,GF,CG,SHO,SV,IP,ER,BK,WP,BF,WHIP,SO9
count,Batter Ahead,144.0,,1805.0,1295.0,223,377.0,89.0,12.0,64.0,213.0,23.0,6.0,478.0,225.0,0.291,0.483,0.527,1.01,682.0,26.0,15.0,4.0,13.0,12.0,16.0,0.307,182.0,105.0,,,,,,,,,,,,,,,,
count,Even Count,144.0,,1791.0,1729.0,262,439.0,92.0,4.0,71.0,247.0,36.0,3.0,0.0,349.0,0.254,0.267,0.435,0.702,752.0,37.0,37.0,7.0,18.0,0.0,11.0,0.277,91.0,95.0,,,,,,,,,,,,,,,,
count,Pitcher Ahead,144.0,,1811.0,1761.0,172,322.0,66.0,2.0,44.0,157.0,23.0,6.0,0.0,630.0,0.183,0.197,0.298,0.495,524.0,28.0,34.0,4.0,12.0,0.0,13.0,0.253,35.0,94.0,,,,,,,,,,,,,,,,
outs,0 outs,144.0,,1885.0,1669.0,181,402.0,83.0,7.0,77.0,170.0,13.0,2.0,149.0,386.0,0.241,0.318,0.437,0.756,730.0,34.0,45.0,12.0,10.0,3.0,20.0,0.267,108.0,101.0,,,,,,,,,,,,,,,,
outs,1 out,144.0,,1786.0,1569.0,239,385.0,80.0,5.0,44.0,228.0,46.0,7.0,158.0,391.0,0.245,0.317,0.387,0.704,607.0,57.0,23.0,3.0,33.0,3.0,8.0,0.292,95.0,96.0,,,,,,,,,,,,,,,,
outs,2 outs,144.0,,1736.0,1547.0,237,351.0,84.0,6.0,58.0,219.0,23.0,6.0,171.0,427.0,0.227,0.311,0.401,0.712,621.0,0.0,18.0,0.0,0.0,6.0,12.0,0.276,97.0,102.0,,,,,,,,,,,,,,,,
bases,RISP,143.0,,1320.0,1103.0,446,286.0,63.0,4.0,29.0,409.0,34.0,4.0,149.0,280.0,0.259,0.345,0.403,0.748,444.0,29.0,18.0,7.0,43.0,12.0,9.0,0.307,108.0,99.0,,,,,,,,,,,,,,,,
bases,---,144.0,,3086.0,2773.0,123,636.0,134.0,9.0,123.0,123.0,0.0,0.0,260.0,715.0,0.229,0.308,0.417,0.725,1157.0,0.0,53.0,0.0,0.0,0.0,27.0,0.265,99.0,105.0,,,,,,,,,,,,,,,,
bases,Men On,144.0,,2321.0,2012.0,534,502.0,113.0,9.0,56.0,494.0,82.0,15.0,218.0,489.0,0.25,0.327,0.398,0.725,801.0,91.0,33.0,15.0,43.0,12.0,13.0,0.295,101.0,94.0,,,,,,,,,,,,,,,,
bases,1--,144.0,,1001.0,909.0,88,216.0,50.0,5.0,27.0,85.0,48.0,11.0,69.0,209.0,0.238,0.302,0.393,0.695,357.0,62.0,15.0,8.0,0.0,0.0,4.0,0.281,92.0,87.0,,,,,,,,,,,,,,,,
bases,-2-,129.0,,441.0,374.0,79,96.0,21.0,3.0,11.0,76.0,9.0,2.0,58.0,90.0,0.257,0.37,0.417,0.787,156.0,0.0,9.0,0.0,0.0,6.0,2.0,0.311,119.0,113.0,,,,,,,,,,,,,,,,
bases,--3,87.0,,146.0,117.0,49,26.0,8.0,0.0,3.0,45.0,0.0,0.0,17.0,33.0,0.222,0.308,0.368,0.676,43.0,0.0,2.0,0.0,10.0,3.0,2.0,0.253,87.0,67.0,,,,,,,,,,,,,,,,
bases,12-,120.0,,318.0,278.0,99,75.0,16.0,1.0,11.0,89.0,16.0,1.0,31.0,63.0,0.27,0.351,0.453,0.805,126.0,20.0,4.0,5.0,0.0,0.0,3.0,0.314,122.0,126.0,,,,,,,,,,,,,,,,
bases,1-3,97.0,,158.0,126.0,79,42.0,9.0,0.0,3.0,71.0,9.0,1.0,16.0,36.0,0.333,0.372,0.476,0.848,60.0,2.0,0.0,2.0,14.0,0.0,0.0,0.386,134.0,118.0,,,,,,,,,,,,,,,,
bases,-23,75.0,,131.0,106.0,58,22.0,5.0,0.0,0.0,56.0,0.0,0.0,16.0,32.0,0.208,0.298,0.255,0.552,27.0,0.0,1.0,0.0,8.0,3.0,0.0,0.268,57.0,41.0,,,,,,,,,,,,,,,,
bases,123,64.0,,126.0,102.0,82,25.0,4.0,0.0,1.0,72.0,0.0,0.0,11.0,26.0,0.245,0.302,0.314,0.615,32.0,7.0,2.0,0.0,11.0,0.0,2.0,0.279,72.0,58.0,,,,,,,,,,,,,,,,
bases,"on 1st, <2 out",144.0,,979.0,846.0,215,234.0,50.0,3.0,23.0,197.0,53.0,8.0,79.0,186.0,0.277,0.339,0.424,0.764,359.0,91.0,14.0,15.0,25.0,0.0,4.0,0.319,111.0,99.0,,,,,,,,,,,,,,,,
bases,"on 3rd, <2 out",104.0,,281.0,206.0,176,61.0,16.0,0.0,3.0,165.0,5.0,1.0,27.0,60.0,0.296,0.326,0.417,0.744,86.0,9.0,3.0,2.0,43.0,2.0,1.0,0.312,105.0,73.0,,,,,,,,,,,,,,,,
bases,"on 3rd, 2 out",127.0,,280.0,245.0,92,54.0,10.0,0.0,4.0,79.0,4.0,0.0,33.0,67.0,0.22,0.318,0.31,0.628,76.0,0.0,2.0,0.0,0.0,4.0,3.0,0.287,76.0,73.0,,,,,,,,,,,,,,,,
bases,"0 out, ---",144.0,,1338.0,1207.0,60,275.0,55.0,4.0,60.0,60.0,0.0,0.0,101.0,289.0,0.228,0.303,0.429,0.733,518.0,0.0,30.0,0.0,0.0,0.0,15.0,0.251,101.0,100.0,,,,,,,,,,,,,,,,
