Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,SO/W,W,L,W-L%,ERA,GF,CG,SHO,SV,IP,ER,BK,WP,BF,WHIP,SO9
platparks,as LHP@NYY-Yankee Stad3,3.0,,51.0,43.0,10,13.0,2.0,0.0,3.0,,1.0,0.0,6.0,6.0,0.302,0.412,0.558,0.97,24.0,1.0,2.0,0.0,0.0,0.0,0.0,0.294,153.0,169.0,1.0,,,,,,,,,,,,,,,
platparks,as RHP@NYY-Yankee Stad3,4.0,,96.0,82.0,20,17.0,6.0,1.0,5.0,,2.0,0.0,10.0,26.0,0.207,0.302,0.488,0.79,40.0,2.0,2.0,0.0,2.0,0.0,1.0,0.226,103.0,127.0,2.6,,,,,,,,,,,,,,,
platparks,as RHP@OAK-Coliseum,3.0,,89.0,74.0,19,20.0,3.0,0.0,6.0,,6.0,1.0,11.0,12.0,0.27,0.382,0.554,0.936,41.0,2.0,3.0,0.0,1.0,0.0,4.0,0.246,143.0,171.0,1.09,,,,,,,,,,,,,,,
platparks,as LHP@OAK-Coliseum,2.0,,11.0,11.0,2,2.0,1.0,0.0,0.0,,0.0,0.0,0.0,4.0,0.182,0.182,0.273,0.455,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.286,18.0,28.0,,,,,,,,,,,,,,,,
platparks,as RHP@SEA-T-Mobile Pk,3.0,,76.0,66.0,9,17.0,2.0,1.0,3.0,,0.0,2.0,8.0,23.0,0.258,0.329,0.455,0.783,30.0,1.0,0.0,0.0,2.0,0.0,0.0,0.333,104.0,138.0,2.88,,,,,,,,,,,,,,,
platparks,as LHP@SEA-T-Mobile Pk,2.0,,34.0,32.0,7,11.0,2.0,1.0,1.0,,0.0,0.0,1.0,10.0,0.344,0.382,0.563,0.945,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.476,145.0,167.0,10.0,,,,,,,,,,,,,,,
platparks,as LHP@STL-Busch Stad 3,3.0,,15.0,14.0,2,5.0,2.0,0.0,0.0,,0.0,0.0,0.0,4.0,0.357,0.357,0.5,0.857,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,123.0,141.0,,,,,,,,,,,,,,,,
platparks,as RHP@STL-Busch Stad 3,3.0,,91.0,78.0,11,20.0,4.0,0.0,1.0,,5.0,0.0,9.0,20.0,0.256,0.333,0.346,0.679,27.0,2.0,1.0,1.0,2.0,1.0,1.0,0.322,81.0,106.0,2.22,,,,,,,,,,,,,,,
platparks,as RHP@TBR-TropicanaFld,3.0,,88.0,81.0,10,19.0,3.0,1.0,3.0,,1.0,1.0,6.0,12.0,0.235,0.295,0.407,0.703,33.0,2.0,1.0,0.0,0.0,0.0,0.0,0.242,83.0,111.0,2.0,,,,,,,,,,,,,,,
platparks,as LHP@TBR-TropicanaFld,2.0,,25.0,22.0,11,11.0,1.0,1.0,5.0,,1.0,0.0,3.0,3.0,0.5,0.56,1.318,1.878,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.429,368.0,412.0,1.0,,,,,,,,,,,,,,,
platparks,as RHP@TEX-GlbLifeField,3.0,,102.0,95.0,9,21.0,2.0,0.0,4.0,,0.0,0.0,5.0,18.0,0.221,0.265,0.368,0.633,35.0,2.0,1.0,0.0,1.0,0.0,2.0,0.23,65.0,77.0,3.6,,,,,,,,,,,,,,,
platparks,as LHP@TEX-GlbLifeField,2.0,,10.0,10.0,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,0.1,0.1,0.1,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,-46.0,-42.0,,,,,,,,,,,,,,,,
catcher,Willians Astudillo,9.0,,170.0,147.0,27,42.0,14.0,1.0,7.0,,1.0,1.0,21.0,30.0,0.286,0.376,0.537,0.914,79.0,8.0,1.0,0.0,1.0,0.0,0.0,0.315,137.0,100.0,1.43,,,,5.31,,,,,39.0,23.0,,,,,
catcher,Mitch Garver,53.0,,1688.0,1522.0,237,384.0,85.0,6.0,71.0,,20.0,3.0,132.0,375.0,0.252,0.315,0.456,0.771,694.0,35.0,13.0,9.0,11.0,5.0,12.0,0.288,100.0,100.0,2.84,,,,4.84,,,,,397.2,214.0,,,,,
catcher,Ryan Jeffers,75.0,,2517.0,2270.0,344,561.0,124.0,9.0,92.0,,37.0,12.0,183.0,543.0,0.247,0.308,0.431,0.739,979.0,42.0,29.0,7.0,28.0,5.0,25.0,0.282,92.0,100.0,2.97,,,,4.75,,,,,593.2,313.0,,,,,
catcher,Ben Rortvedt,38.0,,1091.0,973.0,149,261.0,45.0,6.0,49.0,,9.0,7.0,97.0,234.0,0.268,0.337,0.478,0.815,465.0,17.0,7.0,5.0,7.0,2.0,10.0,0.304,112.0,100.0,2.41,,,,5.12,,,,,248.0,141.0,,,,,
ump,Adam Beck,11.0,,118.0,103.0,23,34.0,9.0,0.0,6.0,,2.0,0.0,11.0,23.0,0.33,0.381,0.592,0.974,61.0,1.0,0.0,0.0,4.0,0.0,0.0,0.359,151.0,151.0,2.09,,,,,,,,,,,,,,,
ump,Adam Hamari,16.0,,153.0,139.0,28,35.0,3.0,0.0,13.0,,3.0,0.0,10.0,26.0,0.252,0.307,0.554,0.861,77.0,3.0,2.0,0.0,2.0,0.0,0.0,0.216,119.0,129.0,2.6,,,,,,,,,,,,,,,
ump,Adrian Johnson,4.0,,41.0,35.0,8,15.0,3.0,0.0,2.0,,2.0,0.0,2.0,2.0,0.429,0.439,0.686,1.125,24.0,2.0,1.0,0.0,3.0,0.0,1.0,0.382,190.0,193.0,1.0,,,,,,,,,,,,,,,
ump,Alan Porter,6.0,,61.0,56.0,9,12.0,0.0,0.0,3.0,,1.0,0.0,4.0,17.0,0.214,0.279,0.375,0.654,21.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,71.0,74.0,4.25,,,,,,,,,,,,,,,
ump,Angel Hernandez,3.0,,37.0,33.0,7,8.0,3.0,0.0,1.0,,1.0,0.0,2.0,9.0,0.242,0.324,0.424,0.749,14.0,0.0,2.0,0.0,0.0,0.0,1.0,0.304,96.0,102.0,4.5,,,,,,,,,,,,,,,
ump,Ben May,5.0,,41.0,34.0,5,11.0,2.0,0.0,1.0,,0.0,0.0,3.0,11.0,0.324,0.359,0.471,0.83,16.0,0.0,0.0,2.0,2.0,0.0,0.0,0.417,117.0,134.0,3.67,,,,,,,,,,,,,,,
ump,Brian Gorman,5.0,,34.0,32.0,0,5.0,1.0,0.0,0.0,,0.0,0.0,1.0,8.0,0.156,0.206,0.188,0.393,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.208,7.0,20.0,8.0,,,,,,,,,,,,,,,
ump,Brian O'Nora,8.0,,70.0,65.0,9,18.0,2.0,1.0,3.0,,3.0,0.0,5.0,13.0,0.277,0.329,0.477,0.805,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.306,109.0,123.0,2.6,,,,,,,,,,,,,,,
ump,Bruce Dreckman,4.0,,31.0,30.0,3,4.0,1.0,0.0,1.0,,1.0,0.0,1.0,7.0,0.133,0.161,0.267,0.428,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.136,10.0,8.0,7.0,,,,,,,,,,,,,,,
